[INFO] device: cuda
[step 4500] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 4550] loss=-0.5000 e_pos=-0.500 e_neg=0.499
[step 4600] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 4650] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 4700] loss=-0.5000 e_pos=-0.500 e_neg=0.499
[epoch 100] avg_loss=-0.5000
[step 4750] loss=-0.5000 e_pos=-0.500 e_neg=0.501
[step 4800] loss=-0.5000 e_pos=-0.501 e_neg=0.500
[step 4850] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 4900] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 4950] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 5000] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 5050] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 5100] loss=-0.5000 e_pos=-0.500 e_neg=0.501
[step 5150] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[epoch 110] avg_loss=-0.5000
[step 5200] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 5250] loss=-0.5000 e_pos=-0.499 e_neg=0.500
[step 5300] loss=-0.5000 e_pos=-0.500 e_neg=0.499
[step 5350] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 5400] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 5450] loss=-0.5000 e_pos=-0.500 e_neg=0.499
[step 5500] loss=-0.5000 e_pos=-0.500 e_neg=0.499
[step 5550] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 5600] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[epoch 120] avg_loss=-0.5000
[step 5650] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 5700] loss=-0.5000 e_pos=-0.500 e_neg=0.501
[step 5750] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 5800] loss=-0.5000 e_pos=-0.499 e_neg=0.501
[step 5850] loss=-0.5000 e_pos=-0.500 e_neg=0.501
[step 5900] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 5950] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 6000] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 6050] loss=-0.5000 e_pos=-0.500 e_neg=0.499
[step 6100] loss=-0.5000 e_pos=-0.500 e_neg=0.499
[epoch 130] avg_loss=-0.5000
[step 6150] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 6200] loss=-0.5000 e_pos=-0.500 e_neg=0.501
[step 6250] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 6300] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 6350] loss=-0.5000 e_pos=-0.500 e_neg=0.499
[step 6400] loss=-0.5000 e_pos=-0.500 e_neg=0.499
[step 6450] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 6500] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 6550] loss=-0.5000 e_pos=-0.500 e_neg=0.501
[epoch 140] avg_loss=-0.5000
[step 6600] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 6650] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 6700] loss=-0.5000 e_pos=-0.500 e_neg=0.501
[step 6750] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 6800] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 6850] loss=-0.5000 e_pos=-0.500 e_neg=0.501
[step 6900] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 6950] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 7000] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 7050] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[epoch 150] avg_loss=-0.5000
[step 7100] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 7150] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 7200] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 7250] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 7300] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 7350] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 7400] loss=-0.5000 e_pos=-0.500 e_neg=0.501
[step 7450] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 7500] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[epoch 160] avg_loss=-0.5000
[step 7550] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 7600] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 7650] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 7700] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 7750] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 7800] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 7850] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 7900] loss=-0.5000 e_pos=-0.500 e_neg=0.499
[step 7950] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[epoch 170] avg_loss=-0.5000
[step 8000] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 8050] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 8100] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 8150] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 8200] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 8250] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 8300] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 8350] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 8400] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 8450] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[epoch 180] avg_loss=-0.5000
[step 8500] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 8550] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 8600] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 8650] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 8700] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 8750] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 8800] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 8850] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 8900] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[epoch 190] avg_loss=-0.5000
[step 8950] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 9000] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 9050] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 9100] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 9150] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 9200] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 9250] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 9300] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 9350] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[step 9400] loss=-0.5000 e_pos=-0.500 e_neg=0.500
[epoch 200] avg_loss=-0.5000
